Title:
BG 韩国 “ ” “ ” 民众 举行 对立 集会 ED
Teacher Forced Generated Title:
中新网              
Distribution for each word in title:
1:
中新网: 0.000056
或: 0.000066
朴槿惠: 0.000066
遭袭: 0.000065
特朗普: 0.000065
民众: 0.000065
欺骗: 0.000065

12:
: 0.000113
ED: 0.000070
“: 0.000070
”: 0.000066
或: 0.000066
朴槿惠: 0.000066
遭袭: 0.000065
特朗普: 0.000065
民众: 0.000065
欺骗: 0.000065

13:
: 0.000113
ED: 0.000070
“: 0.000070
”: 0.000066
或: 0.000066
朴槿惠: 0.000066
遭袭: 0.000065
特朗普: 0.000065
民众: 0.000065
欺骗: 0.000065

14:
: 0.000113
ED: 0.000070
“: 0.000070
”: 0.000066
或: 0.000066
朴槿惠: 0.000066
遭袭: 0.000065
特朗普: 0.000065
民众: 0.000065
欺骗: 0.000065

15:
: 0.000113
ED: 0.000070
“: 0.000070
”: 0.000066
或: 0.000066
朴槿惠: 0.000066
遭袭: 0.000065
特朗普: 0.000065
民众: 0.000065
欺骗: 0.000065


Generated Titles:
No. 1
中新网 伊斯兰 - 朴槿惠 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 ED
-9.624461
No. 2
中新网 伊斯兰 - 朴槿惠 - 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 ED
-9.624978
No. 3
中新网 伊斯兰 - 朴槿惠 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 接受 ED
-9.625688
No. 4
中新网 伊斯兰 - 朴槿惠 - 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 ED 
-9.626334
No. 5
中新网 伊斯兰 - 朴槿惠 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 ED 
-9.626390
No. 6
中新网 伊斯兰 - 朴槿惠 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 “ ED
-9.626996
No. 7
中新网 伊斯兰 - 朴槿惠 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 ” ED
-9.627330
No. 8
中新网 伊斯兰 - 朴槿惠 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 ED  
-9.627958
No. 9
中新网 伊斯兰 - 朴槿惠 - 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 或 ED
-9.628535
No. 10
中新网 伊斯兰 - 朴槿惠 - 朴槿惠 或 朴槿惠 或 朴槿惠 或 朴槿惠 或 ” ED
-9.628585
Content:
BG 新华社 电 ED

BG 随着 韩国 宪法法院 就 总统 弹劾案 的 最终 庭审 日 将 至 , 支持 和 反对 弹劾 的 两派 民众 NUM 日 举行 针锋相对 的 大规模 集会 ED

BG 多个 民间组织 及 大量 民众 当晚 在 首都 首尔 的 门 广场 举行 第 NUM 轮 “ ” 烛光 集会 , 要求 总统 朴槿惠 下台 , 敦促 宪法法院 尽快 审判 总统 弹劾案 ED

BG 组织者 称 , 截至 当晚 NUM 时 左右 , 大约 NUM 万人 参加 了 集会 ED

BG 集会 民众 高喊 “ 朴槿惠 下台 ” “ 逮捕 朴槿惠 ” 等 口号 , 情绪 激动 ED

BG 部分 民众 手持 和 蜡烛 , 在 青瓦台 附近 举行 示威游行 ED

BG 集会 民众 指责 朴槿惠 方面 故意 拖延 宪法法院 审理 程序 , 称 将 用 集会 挫败 朴槿惠 方面 的 企图 ED

BG 有 集会 者 表示 , 如果 宪法法院 否决 弹劾 , 他们 必然 会 再次 走上 街头 举行 示威 ED

BG 同日 , 支持 朴槿惠 的 民众 在 距 门 广场 不远 的 首尔 市政厅 附近 举行 集会 ED

BG 集会 者 呼喊 “ 解散国会 ” “ 逮捕 人员 ” 等 口号 , 要求 宪法法院 裁定 国会 弹劾 无效 , 指责 国会 以及 媒体 存在 “ 偏见 ” ED

BG 组织 , 截至 当天 下午 , 大约 NUM 万人 参加 了 “ ” 集会 ED

BG 警方 未 提供 双方 集会 活动 参与 人数 ED

BG 没有 警方 报告 或 媒体报道 显示 双方 发生 严重 冲突 ED

BG 目前 , 宪法法院 有关 总统 弹劾案 的 审理 以及 特别 检察 “ 亲信 干政 ” 事件 的 调查 均 进入 关键 阶段 ED

BG 宪法法院 定于 本月 NUM 日 举行 最后 一次 庭审 , 并 寻求 在 NUM 月 NUM 日 之前 作出 宣判 ED

BG 的 调查 期限 为 本月 NUM 日 ED
